File,Camera,Season,Year,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Doe_count,Buck_count,Fawn_count,Comments,Animal_1_Condition,Animal_2_Condition,Animal_3_Condition,Animal_4_Condition,Animal_5_Condition,Confidence_Condition,Animal_6_Condition
CAM05_2021Summer_10179.JPG,C05,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,1-Jun-21,19:38:21,Ok,FALSE,1,0,0,,1,,,,,3,
CAM05_2021Summer_10180.JPG,C05,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,1-Jun-21,19:38:22,Ok,FALSE,1,0,0,,1,,,,,3,
CAM05_2021Summer_10181.JPG,C05,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,1-Jun-21,19:38:22,Ok,FALSE,1,0,0,,1,,,,,3,
CAM13_2021Summer_03902.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:51:53,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03903.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:51:53,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03904.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:51:58,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03905.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:51:59,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03906.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:51:59,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03907.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:03,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03908.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:03,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03909.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:03,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03910.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:16,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03911.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:16,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03912.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:17,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03913.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:22,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03914.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:23,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03915.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:23,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03916.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:28,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03917.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:28,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03918.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:28,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03919.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:33,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03920.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:33,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_03921.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,2-Jun-21,3:52:34,Ok,FALSE,0,1,0,,2.5,,,,,3,
CAM13_2021Summer_04231.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,4-Jun-21,7:27:53,Ok,FALSE,1,0,0,,2.5,,,,,3,
CAM13_2021Summer_04232.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,4-Jun-21,7:27:53,Ok,FALSE,1,0,0,,2.5,,,,,3,
CAM13_2021Summer_04233.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,4-Jun-21,7:27:53,Ok,FALSE,1,0,0,,2.5,,,,,3,
CAM13_2021Summer_04234.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,4-Jun-21,7:27:57,Ok,FALSE,1,0,0,,2.5,,,,,3,
CAM13_2021Summer_04235.JPG,C13,Summer,2021,Summer21_1,Deer_BodyCond_DoeFawn,4-Jun-21,7:27:57,Ok,FALSE,1,0,0,,2.5,,,,,3,
