"","cluster_id","cougar_id","Season","Year","form_date","inv_date","carcass_found","species","sex","age","marrow_color","marrow_texture","body_cond","deer","pig","forest_dist","grass_dist","shrub_dist","riparian_dist","NDVI"
"144","SF9_S23-C32","SF09","Summer",2022,2023-06-26,2023-06-27,"Y","deer","UNK","neonate",0,0,0,9.14788436889648,3.15397262573242,5.19849681854248,4.45263433456421,0,3.43398714065552,0.469983160495758
"145","SF9_S23-C34","SF09","Summer",2022,2023-06-27,2023-06-28,"Y","deer","UNK","neonate",0,0,0,3.63584995269775,1.44769251346588,0,4.90648937225342,3.77106761932373,6.20611763000488,0.494043678045273
"146","SF9_S23-C37","SF09","Summer",2022,2023-06-29,2023-07-01,"Y","deer","UNK","neonate",0,1,1,6.63589286804199,2.00918459892273,4.51085948944092,4.45263433456421,3.43398714065552,0,0.528943121433258
"147","SF9_S23-C38","SF09","Summer",2022,2023-06-30,2023-07-03,"Y","deer","UNK","neonate",0,1,1,13.8179750442505,6.06767511367798,6.15395402908325,4.22071361541748,3.77106761932373,0,0.395368933677673
"148","SF9_S23-C40","SF09","Summer",2022,2023-07-02,2023-07-03,"Y","deer","UNK","neonate",0,0,0,14.2934656143188,5.9967246055603,6.04263305664062,3.43398714065552,4.22071361541748,0,0.377682894468307
"149","SF9_S23-C41","SF09","Summer",2022,2023-07-03,2023-07-04,"Y","deer","UNK","neonate",0,2,2,14.5971336364746,2.22417831420898,5.21212148666382,0,3.77106761932373,3.43398714065552,0.382064789533615
"150","SF9_S23-C42","SF09","Summer",2022,2023-07-04,2023-07-05,"Y","deer","UNK","neonate",0,0,0,13.7626276016235,3.66799521446228,3.43398714065552,3.43398714065552,4.51085948944092,0,0.362542241811752
"151","SF9_S23-C44","SF09","Summer",2022,2023-07-07,2023-07-08,"Y","deer","F","adult",2,2,4,12.2145709991455,7.98673963546753,6.63402795791626,3.43398714065552,0,3.43398714065552,0.328805804252625
"152","SF9_S23-C43","SF09","Summer",2022,2023-07-07,2023-07-10,"Y","deer","UNK","neonate",0,0,0,14.8118467330933,4.23886108398438,5.55032062530518,4.51085948944092,0,3.43398714065552,0.372449100017548
"153","SF9_S23-C47","SF09","Summer",2022,2023-07-13,2023-07-16,"Y","deer","UNK","neonate",1,1,2,14.7987957000732,2.66248655319214,3.43398714065552,3.77106761932373,0,3.77106761932373,0.372528791427612
"154","SF9_S23-C48","SF09","Summer",2022,2023-07-16,2023-07-17,"Y","deer","M","adult",1,2,3,14.2295055389404,3.79291033744812,5.51498556137085,0,5.09101629257202,3.43398714065552,0.377207309007645
"156","SF9_S23-C49","SF09","Summer",2022,2023-07-20,2023-07-21,"Y","deer","UNK","neonate",1,2,3,6.13012742996216,1.90718901157379,5.09101629257202,0,3.43398714065552,5.03676176071167,0.438523381948471
"157","SF9_S23-C50","SF09","Summer",2022,2023-07-22,2023-07-23,"Y","deer","UNK","neonate",0,1,1,4.66862058639526,1.47412848472595,0,3.77106761932373,3.43398714065552,4.11087369918823,0.429403901100159
"158","SF9_S23-C52","SF09","Summer",2022,2023-07-26,2023-07-26,"Y","deer","F","fawn",0,1,1,11.2806549072266,8.72147464752197,5.78536128997803,3.43398714065552,0,3.77106761932373,0.356266111135483
"159","SF9_W23-1013","SF09","Winter",2022,2023-10-13,2023-11-02,"Y","deer","M","adult",2,2,4,11.9624166488647,8.37776947021484,4.85420894622803,5.01727962493896,0,6.41092109680176,0.461706966161728
"160","SF9_W23-1016","SF09","Winter",2022,2023-10-16,2023-11-02,"Y","deer","F","adult",1,2,3,5.39268636703491,1.79445230960846,5.25089359283447,5.62613201141357,0,6.00015735626221,0.525848507881165
"161","SF9_W23-1025","SF09","Winter",2022,2023-10-25,2023-11-03,"Y","deer","UNK","fawn",0,1,1,14.1535682678223,2.98765063285828,4.79579067230225,5.13994073867798,3.43398714065552,0,0.435822457075119
